year,season,district_name,mandal_name,crop,normal_area,actual_area
2018-2019,Rabi,Jayashankar Bhupalpally,Mahamutharam,Chillies,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mahamutharam,Groundnut,99,76
2018-2019,Rabi,Jayashankar Bhupalpally,Mahamutharam,Sesamum,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mahamutharam,Jowar,4,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mahamutharam,Bajra,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mahamutharam,Ragi,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mahamutharam,Horse Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Mahamutharam,GROSS AREA SOWN,909,196
2018-2019,Rabi,Jayashankar Bhupalpally,Palimela,Paddy,116,100
2018-2019,Rabi,Jayashankar Bhupalpally,Palimela,Maize,13,0
2018-2019,Rabi,Jayashankar Bhupalpally,Palimela,Green Gram,73,0
2018-2019,Rabi,Jayashankar Bhupalpally,Palimela,Black Gram,35,0
2018-2019,Rabi,Jayashankar Bhupalpally,Palimela,Red Gram,1,0
2018-2019,Rabi,Jayashankar Bhupalpally,Palimela,Bengal Gram,10,0
2018-2019,Rabi,Jayashankar Bhupalpally,Palimela,Cow Gram,2,0
2018-2019,Rabi,Jayashankar Bhupalpally,Palimela,Chillies,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Palimela,Groundnut,30,0
2018-2019,Rabi,Jayashankar Bhupalpally,Palimela,Sesamum,12,3
2018-2019,Rabi,Jayashankar Bhupalpally,Palimela,Jowar,36,22
2018-2019,Rabi,Jayashankar Bhupalpally,Palimela,Bajra,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Palimela,Ragi,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Palimela,Horse Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Palimela,GROSS AREA SOWN,328,125
2018-2019,Rabi,Jayashankar Bhupalpally,Regonda,Paddy,868,110
2018-2019,Rabi,Jayashankar Bhupalpally,Regonda,Maize,680,652
2018-2019,Rabi,Jayashankar Bhupalpally,Regonda,Green Gram,13,72
2018-2019,Rabi,Jayashankar Bhupalpally,Regonda,Black Gram,0,25
2018-2019,Rabi,Jayashankar Bhupalpally,Regonda,Red Gram,4,0
2018-2019,Rabi,Jayashankar Bhupalpally,Regonda,Bengal Gram,26,51
2018-2019,Rabi,Jayashankar Bhupalpally,Regonda,Cow Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Regonda,Chillies,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Regonda,Groundnut,40,32
2018-2019,Rabi,Jayashankar Bhupalpally,Regonda,Sesamum,6,0
2018-2019,Rabi,Jayashankar Bhupalpally,Regonda,Jowar,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Regonda,Bajra,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Regonda,Ragi,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Regonda,Horse Gram,0,
2018-2019,Rabi,Jayashankar Bhupalpally,Regonda,GROSS AREA SOWN,1637,942
2018-2019,Rabi,Jayashankar Bhupalpally,Tadvai,Paddy,769,120
2018-2019,Rabi,Jayashankar Bhupalpally,Tadvai,Maize,88,72
2018-2019,Rabi,Jayashankar Bhupalpally,Tadvai,Green Gram,120,220
2018-2019,Rabi,Jayashankar Bhupalpally,Tadvai,Black Gram,54,32
2018-2019,Rabi,Jayashankar Bhupalpally,Tadvai,Red Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Tadvai,Bengal Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Tadvai,Cow Gram,176,0
2018-2019,Rabi,Jayashankar Bhupalpally,Tadvai,Chillies,58,62
2018-2019,Rabi,Jayashankar Bhupalpally,Tadvai,Groundnut,20,6
2018-2019,Rabi,Jayashankar Bhupalpally,Tadvai,Sesamum,2,0
2018-2019,Rabi,Jayashankar Bhupalpally,Tadvai,Jowar,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Tadvai,Bajra,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Tadvai,Ragi,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Tadvai,Horse Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Tadvai,GROSS AREA SOWN,1287,512
2018-2019,Rabi,Jayashankar Bhupalpally,Tekumatla,Paddy,709,90
2018-2019,Rabi,Jayashankar Bhupalpally,Tekumatla,Maize,335,225
2018-2019,Rabi,Jayashankar Bhupalpally,Tekumatla,Green Gram,14,2
2018-2019,Rabi,Jayashankar Bhupalpally,Tekumatla,Black Gram,5,2
2018-2019,Rabi,Jayashankar Bhupalpally,Tekumatla,Red Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Tekumatla,Bengal Gram,10,35
2018-2019,Rabi,Jayashankar Bhupalpally,Tekumatla,Cow Gram,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Tekumatla,Chillies,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Tekumatla,Groundnut,5,14
2018-2019,Rabi,Jayashankar Bhupalpally,Tekumatla,Sesamum,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Tekumatla,Jowar,0,0
2018-2019,Rabi,Jayashankar Bhupalpally,Tekumatla,Bajra,0,0
