year,season,district_name,mandal_name,crop,actual_area,normal_area
2018-2019,Rabi,Jogulamba Gadwal,Itikyal,Mulbary,,
2018-2019,Rabi,Jogulamba Gadwal,Rajoli,Mulbary,,
2018-2019,Rabi,Jogulamba Gadwal,Waddepalle,Mulbary,0,
2018-2019,Rabi,Jogulamba Gadwal,Manopad,Mulbary,,
2018-2019,Rabi,Jogulamba Gadwal,Undavelli,Mulbary,0,
2018-2019,Rabi,Jogulamba Gadwal,Kaloor Timmanadoddi,Other crops,,0
2018-2019,Rabi,Jogulamba Gadwal,Dharur,Other crops,0,0
2018-2019,Rabi,Jogulamba Gadwal,Gadwal,Other crops,0,2
2018-2019,Rabi,Jogulamba Gadwal,Maldakal,Other crops,,3
2018-2019,Rabi,Jogulamba Gadwal,Ghattu,Other crops,0,0
2018-2019,Rabi,Jogulamba Gadwal,Alampur,Other crops,,0
2018-2019,Rabi,Jogulamba Gadwal,Aiza,Other crops,,0
2018-2019,Rabi,Jogulamba Gadwal,Itikyal,Other crops,,1
2018-2019,Rabi,Jogulamba Gadwal,Rajoli,Other crops,,0
2018-2019,Rabi,Jogulamba Gadwal,Waddepalle,Other crops,,0
2018-2019,Rabi,Jogulamba Gadwal,Manopad,Other crops,,0
2018-2019,Rabi,Jogulamba Gadwal,Undavelli,Other crops,0,1
2018-2019,Rabi,Jogulamba Gadwal,Kaloor Timmanadoddi,Gross area,1288,2405
2018-2019,Rabi,Jogulamba Gadwal,Dharur,Gross area,2849,3314
2018-2019,Rabi,Jogulamba Gadwal,Gadwal,Gross area,1614,3072
2018-2019,Rabi,Jogulamba Gadwal,Maldakal,Gross area,2103,5417
2018-2019,Rabi,Jogulamba Gadwal,Ghattu,Gross area,1620,4600
2018-2019,Rabi,Jogulamba Gadwal,Alampur,Gross area,3549,5082
2018-2019,Rabi,Jogulamba Gadwal,Aiza,Gross area,1094,2226
2018-2019,Rabi,Jogulamba Gadwal,Itikyal,Gross area,2285.2,4776
2018-2019,Rabi,Jogulamba Gadwal,Rajoli,Gross area,1249,2348
2018-2019,Rabi,Jogulamba Gadwal,Waddepalle,Gross area,1540,2170
2018-2019,Rabi,Jogulamba Gadwal,Manopad,Gross area,1410,2558
2018-2019,Rabi,Jogulamba Gadwal,Undavelli,Gross area,1981,4935
