year,season,district_name,mandal_name,crop,normal_area,actual_area
2018-2019,Rabi,Kumuram Bheem,Jainoor,Seasumum,0,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-U,Seasumum,0,0
2018-2019,Rabi,Kumuram Bheem,Lingapoor,Seasumum,0,0
2018-2019,Rabi,Kumuram Bheem,Tiryani,Seasumum,0,0
2018-2019,Rabi,Kumuram Bheem,Rebbena,Seasumum,0,0
2018-2019,Rabi,Kumuram Bheem,Asifabad,Seasumum,0,0
2018-2019,Rabi,Kumuram Bheem,Kerameri,Seasumum,0,0
2018-2019,Rabi,Kumuram Bheem,Wankidi,Seasumum,0,0
2018-2019,Rabi,Kumuram Bheem,Kagaznagar,Seasumum,0,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-T,Seasumum,20,0
2018-2019,Rabi,Kumuram Bheem,Kouthala,Seasumum,0,0
2018-2019,Rabi,Kumuram Bheem,Chintalamanepalli,Seasumum,0,0
2018-2019,Rabi,Kumuram Bheem,Bejjur,Seasumum,8,0
2018-2019,Rabi,Kumuram Bheem,Penchikalpet,Seasumum,0,0
2018-2019,Rabi,Kumuram Bheem,Dahegoan,Seasumum,56,0
2018-2019,Rabi,Kumuram Bheem,Jainoor,Rape & Mustard,0,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-U,Rape & Mustard,0,0
2018-2019,Rabi,Kumuram Bheem,Lingapoor,Rape & Mustard,0,0
2018-2019,Rabi,Kumuram Bheem,Tiryani,Rape & Mustard,0,0
2018-2019,Rabi,Kumuram Bheem,Rebbena,Rape & Mustard,0,0
2018-2019,Rabi,Kumuram Bheem,Asifabad,Rape & Mustard,0,0
2018-2019,Rabi,Kumuram Bheem,Kerameri,Rape & Mustard,0,0
2018-2019,Rabi,Kumuram Bheem,Wankidi,Rape & Mustard,0,0
2018-2019,Rabi,Kumuram Bheem,Kagaznagar,Rape & Mustard,0,0
2018-2019,Rabi,Kumuram Bheem,Sirpur-T,Rape & Mustard,0,0
2018-2019,Rabi,Kumuram Bheem,Kouthala,Rape & Mustard,0,0
2018-2019,Rabi,Kumuram Bheem,Chintalamanepalli,Rape & Mustard,0,0
2018-2019,Rabi,Kumuram Bheem,Bejjur,Rape & Mustard,0,0
